Bot,Events,Fights,W,L,%,Points,KOs,KOd,Avg Time (s),Last Event,Category,Weapon,Drive
MegatRON,7,31,25,6,0.806,24.01,16,5,128.8,11/11/2023,30lb,Hammersaw,2WD
Emulsifier,6,28,23,5,0.821,22.05,20,0,105.5,11/11/2023,30lb,Vertical Spinner,Tread
Yahoo,8,33,23,10,0.697,14.7,15,5,142.1,11/11/2023,30lb,Drum,4WD
Kablooey Tango,7,24,17,7,0.708,11.93,6,2,151,11/11/2023,30lb,Undercutter,4WD
Litter Box,5,14,11,3,0.786,9.36,11,1,68.4,3/18/2023,30lb,Midcutter,2WD
Red Storm,4,16,11,5,0.688,8.77,4,3,138.8,11/11/2023,30lb,Grappler,4WD
Waddles!,5,20,13,7,0.65,7.35,10,4,96,11/11/2023,30lb,Undercutter,2WD
Vorion,3,11,8,3,0.727,6.15,4,3,127.4,11/11/2023,30lb,Vertical Spinner,2WD
Huge,2,8,6,2,0.75,4.98,6,0,85.3,12/17/2022,30lb,Vertical Spinner,2WD
Squire,3,13,8,5,0.615,4.67,6,3,87.6,11/11/2023,30lb,Vertical Spinner,2WD
Dragon Princess,4,18,11,7,0.611,4.66,3,4,150.6,12/17/2022,30lb,Flamethrower,4WD
Marathon,5,17,9,8,0.529,4.58,8,4,126,12/17/2022,30lb,Drum,2WD
Tryhard,4,14,9,5,0.643,4.56,8,4,86.8,12/17/2022,30lb,Undercutter,2WD
Sombra (30lb),2,9,6,3,0.667,4.2,5,1,116.9,9/30/2023,30lb,Beater,2WD
STF,5,16,9,7,0.563,4.14,6,1,136.4,11/11/2023,30lb,Midcutter,Shuffler
EVA,2,7,5,2,0.714,3.8,3,1,124.1,11/11/2023,30lb,Drum,4WD
Knock Off White,4,13,8,5,0.615,3.16,3,2,151.6,11/11/2023,30lb,Hammer,Shuffler
Phenomenon,8,30,15,15,0.5,2.93,11,11,110.3,11/11/2023,30lb,Vertical Spinner,2WD
Jubileu,2,8,5,3,0.625,2.83,3,2,114.4,11/11/2023,30lb,Midcutter,2WD
Lightside,1,6,4,2,0.667,2.75,3,2,123.8,11/12/2022,30lb,Full Body Spinner,2WD
Chibata,3,9,5,4,0.556,2.12,4,0,137.1,11/11/2023,30lb,Midcutter,2WD
IRE,1,5,3,2,0.6,1.65,1,1,155.6,12/18/2021,30lb,Flipper,4WD
Kitchen Grill,2,7,4,3,0.571,1.5,3,3,108.9,11/11/2023,30lb,Vertical Spinner,4WD
Other Disko,4,12,6,6,0.5,1.21,3,6,101.8,12/17/2022,30lb,Vertical Spinner,2WD
Touro Feather,4,15,7,8,0.467,1.15,7,2,136,11/11/2023,30lb,Drum,2WD
Chonkiii,3,9,5,4,0.556,0.87,5,2,94.6,9/30/2023,30lb,Shell Spinner,Shuffler
SMEH,2,6,3,3,0.5,0.8,3,3,79,12/18/2021,30lb,Vertical Spinner,4WD
Anxieti,2,6,3,3,0.5,0.43,2,2,131,11/11/2023,30lb,Undercutter,2WD
RumHam XXX,2,8,4,4,0.5,-0.02,1,3,143.6,12/18/2021,30lb,Undercutter,2WD
Asa Not Thwacker,1,3,2,1,0.667,-0.59,1,1,146,12/18/2021,30lb,Lifter,4WD
Nautilus,1,4,2,2,0.5,-0.71,1,0,149.3,12/18/2021,30lb,Vertical Spinner,Shuffler
Roadkill,2,7,3,4,0.429,-0.85,3,3,79.3,3/18/2023,30lb,Undercutter,2WD
Specter,1,4,2,2,0.5,-0.89,1,0,149.8,11/12/2022,30lb,Vertical Spinner,4WD
Cueio,1,4,2,2,0.5,-0.92,1,1,138.8,9/30/2023,30lb,Vertical Spinner,2WD
Dakota,1,3,2,1,0.667,-1,0,0,180,11/12/2022,30lb,Beater,2WD
SAKE SCHTROVN,2,4,2,2,0.5,-1.12,2,2,98,9/30/2023,30lb,Lifter,8WD
Agent P.,2,8,3,5,0.375,-1.54,2,5,79.4,11/11/2023,30lb,Vertical Spinner,4WD
This Robot Is Not Overhaul,2,6,2,4,0.333,-1.73,2,1,140.5,12/18/2021,30lb,Lifter,4WD
Hot Shot,2,2,1,1,0.5,-2.23,1,1,102.5,05/06/2023,30lb,Flamethrower,4WD
The Other Robot,1,3,1,2,0.333,-2.5,1,1,130,12/18/2021,30lb,Drum,2WD
Fracas,4,8,3,5,0.375,-2.67,1,4,106.5,11/11/2023,30lb,Grappler,2WD
Cemetery Wind,1,3,1,2,0.333,-2.86,1,2,66.3,5/14/2022,30lb,Overhead,4WD
Crimson Snow,1,3,1,2,0.333,-2.86,1,2,67,5/14/2022,30lb,Beater,4WD
James II,1,3,1,2,0.333,-2.89,1,2,98,11/13/2021,30lb,Vertical Spinner,4WD
Big Cookie,1,2,1,1,0.5,-2.89,1,1,118,1/28/2023,30lb,Full Body Spinner,Bristle Drive
Darth Bot,3,4,1,3,0.25,-2.89,1,3,66.8,9/30/2023,30lb,Full Body Spinner,Shuffler
Option 14,1,3,1,2,0.333,-3,1,2,35.7,12/18/2021,30lb,Beater,2WD
Pendulum,1,1,1,0,1,-3,1,0,47,05/06/2023,30lb,Beater,4WD
Pepe Silvia,1,2,1,1,0.5,-3,0,1,124.5,6/24/2023,30lb,Drum,Shuffler
PanjandruM,1,3,1,2,0.333,-3.1,1,1,110.3,6/24/2023,30lb,Drum,2WD
Juan,1,2,1,1,0.5,-3.11,1,1,49.5,11/13/2021,30lb,Drum,2WD
(Liftoff)²,1,3,1,2,0.333,-3.11,1,2,95.7,11/13/2021,30lb,MeltyBrain,2WD
The Beast,1,3,1,2,0.333,-3.11,0,0,180,11/12/2022,30lb,Vertical Spinner,4WD
Emperor,1,3,1,2,0.333,-3.11,1,1,47,9/30/2023,30lb,Midcutter,Shuffler
Dragon Queen,1,2,1,1,0.5,-3.19,1,0,145.5,9/30/2023,30lb,Flamethrower,4WD
Big Ripto,1,3,1,2,0.333,-3.21,0,2,155.3,02/06/2021,30lb,Vertical Spinner,2WD
DeathPact,2,6,1,5,0.167,-3.39,1,3,131.8,11/11/2023,30lb,Vertical Spinner,4WD
Jade,1,3,1,2,0.333,-3.41,1,2,35,3/26/2022,30lb,Undercutter,2WD
Lil RIP,5,16,6,10,0.375,-3.64,6,8,95.3,11/11/2023,30lb,Vertical Spinner,2WD
Depth Charge,4,11,3,8,0.273,-3.75,0,6,122.2,8/12/2023,30lb,Horizontal Spinner,Bristle Drive
Synthesis 30,5,11,3,8,0.273,-4.05,3,7,77.4,11/11/2023,30lb,Vertical Spinner,2WD
Knockout,1,1,0,1,0,-4.25,0,1,131,12/18/2021,30lb,Beater,4WD
VacaTank,5,9,2,7,0.222,-4.32,1,7,88.3,9/30/2023,30lb,Beater,2WD
Arm Wrestle,1,2,0,2,0,-5,0,2,99,3/20/2021,30lb,Overhead,4WD
Thumb War,2,4,0,4,0,-5,0,4,100.8,05/06/2023,30lb,Overhead,4WD
Twister,2,3,0,3,0,-5,0,1,131,12/18/2021,30lb,Undercutter,2WD
Toolbox,1,2,0,2,0,-5,0,1,93,9/18/2021,30lb,Undercutter,2WD
